Top 50 Most Frequent Topics per News Source
===============================================

--- ALJAZEERA ---
14. 34_evs_nuclear_cannabis_ev (1 articles)
15. 360_kerry_kerrys_john_biden (1 articles)
16. 8_africa_kenya_african_continent (1 articles)
17. 292_women_gender_girls_womens (1 articles)
18. 533_oil_barrels_prices_demand (1 articles)
19. 517_ozone_hole_layer_cfcs (1 articles)
20. 139_music_song_art_museum (1 articles)
21. 56_wine_grapes_varieties_vineyards (1 articles)
22. 24_montana_plaintiffs_trial_state (1 articles)
23. 43_malaria_mosquitoes_dengue_mosquito (1 articles)
24. 364_court_case_dutch_litigation (1 articles)
25. 534_clock_golan_counting_boyd (1 articles)
26. 408_cup_game_messi_coach (1 articles)
27. 26_geoengineering_srm_clouds_stratosphere (1 articles)
28. 459_pakistan_pakistans_sindh_halla (1 articles)
29. 589_grid_texas_outages_power (1 articles)
30. 32_pandemic_coronavirus_covid_virus (1 articles)
31. 19_beach_coastal_beaches_sea (1 articles)
32. 242_jakicevich_tiana_knowledge_indigenous (1 articles)
33. 546_maue_noaa_legates_trump (1 articles)
34. 58_plastic_plastics_waste_bags (1 articles)
35. 36_soil_biodiversity_land_soils (1 articles)

--- FOX ---
 1. -1_in_the_that_of (308 articles)
 2. 0_ipcc_countries_un_report (40 articles)
 3. 5_biden_bidens_clean_energy (35 articles)
 4. 25_candidates_republicans_democrats_inslee (20 articles)
 5. 360_kerry_kerrys_john_biden (18 articles)
 6. 11_protest_rebellion_protesters_police (14 articles)
 7. 2_ice_arctic_sheet_sea (12 articles)
 8. 6_meat_food_foods_beef (10 articles)
 9. 569_deal_green_markey_ocasiocortez (10 articles)
10. 214_military_security_defense_pentagon (9 articles)
11. 32_pandemic_coronavirus_covid_virus (8 articles)
12. 3_amazon_brazil_deforestation_lula (8 articles)
13. 24_montana_plaintiffs_trial_state (8 articles)
14. 38_trump_administration_bridenstine_epa (7 articles)
15. 16_china_kerry_chinese_beijing (7 articles)
16. 51_fire_california_fires_wildfires (7 articles)
17. 44_maui_hawaii_lahaina_fire (7 articles)
18. 400_francis_pope_encyclical_catholic (6 articles)
19. 26_geoengineering_srm_clouds_stratosphere (6 articles)
20. 591_art_gallery_painting_paint (6 articles)
21. 9_heat_heatwaves_europe_extreme (6 articles)
22. 21_trees_forests_tree_planting (5 articles)
23. 87_americans_percent_poll_yale (5 articles)
24. 592_fox_viewers_npr_news (5 articles)
25. 63_gloninger_journalists_meteorologist_meteorologists (5 articles)
26. 13_record_july_copernicus_hottest (5 articles)
27. 33_hurricane_hurricanes_storms_storm (5 articles)
28. 494_agreement_paris_withdrawal_trump (4 articles)
29. 27_reef_coral_bleaching_reefs (4 articles)
30. 223_sanders_biden_medicare_recommendations (4 articles)
31. 427_twitter_musk_users_misinformation (4 articles)
32. 394_plan_democrats_house_pelosi (4 articles)
33. 14_prince_charles_king_william (4 articles)
34. 52_insects_butterflies_bees_butterfly (3 articles)
35. 43_malaria_mosquitoes_dengue_mosquito (3 articles)
36. 513_bezos_amazon_employees_walkout (3 articles)
37. 532_german_berlin_activists_wissing (3 articles)
38. 77_fish_salmon_species_lobster (3 articles)
39. 36_soil_biodiversity_land_soils (3 articles)
40. 120_migration_displacement_displaced_refugees (3 articles)
41. 515_fountain_vatican_rome_museums (3 articles)
42. 484_tornadoes_tornado_gensini_brooks (3 articles)
43. 596_racism_black_latinos_latino (3 articles)
44. 39_education_students_curriculum_teachers (3 articles)
45. 19_beach_coastal_beaches_sea (3 articles)
46. 534_clock_golan_counting_boyd (3 articles)
47. 402_film_films_truman_movie (3 articles)
48. 40_monsoon_rains_india_himachal (3 articles)
49. 301_eu_european_eus_member (2 articles)
50. 30_ai_chatgpt_intelligence_artificial (2 articles)

--- GUARDIAN ---
 1. -1_in_the_that_of (446 articles)
 2. 0_ipcc_countries_un_report (113 articles)
 3. 1_australia_apps_albanese_australias (76 articles)
 4. 9_heat_heatwaves_europe_extreme (23 articles)
 5. 2_ice_arctic_sheet_sea (20 articles)
 6. 6_meat_food_foods_beef (20 articles)
 7. 13_record_july_copernicus_hottest (16 articles)
 8. 10_uk_ccc_net_zero (15 articles)
 9. 22_dioxide_ppm_atmosphere_co (13 articles)
10. 23_health_lancet_diseases_pollution (12 articles)
11. 52_insects_butterflies_bees_butterfly (12 articles)
12. 63_gloninger_journalists_meteorologist_meteorologists (12 articles)
13. 87_americans_percent_poll_yale (11 articles)
14. 11_protest_rebellion_protesters_police (10 articles)
15. 447_australia_bushfires_supercharging_rancorous (10 articles)
16. 564_ccc_uk_committee_adaptation (8 articles)
17. 5_biden_bidens_clean_energy (8 articles)
18. 514_exxon_exxonmobil_exxons_oil (8 articles)
19. 17_companies_fink_blackrock_firms (8 articles)
20. 27_reef_coral_bleaching_reefs (8 articles)
21. 364_court_case_dutch_litigation (7 articles)
22. 7_kenya_food_africa_drought (7 articles)
23. 673_green_bn_recovery_net (7 articles)
24. 48_ocean_oceans_heat_surface (7 articles)
25. 139_music_song_art_museum (7 articles)
26. 519_wmo_preindustrial_taalas_threshold (6 articles)
27. 530_sharks_shark_fins_fin (6 articles)
28. 478_debt_imf_countries_mottley (6 articles)
29. 500_wallacewells_haiku_my_fiction (6 articles)
30. 47_sunak_labour_keir_secretary (6 articles)
31. 21_trees_forests_tree_planting (6 articles)
32. 461_tipping_points_gt_lenton (6 articles)
33. 520_ecosystem_presses_ecosystems_pulses (6 articles)
34. 43_malaria_mosquitoes_dengue_mosquito (6 articles)
35. 32_pandemic_coronavirus_covid_virus (6 articles)
36. 505_aid_bn_uk_miliband (6 articles)
37. 25_candidates_republicans_democrats_inslee (6 articles)
38. 29_india_heat_asia_thailand (6 articles)
39. 24_montana_plaintiffs_trial_state (6 articles)
40. 427_twitter_musk_users_misinformation (5 articles)
41. 333_methane_potent_atmosphere_gas (5 articles)
42. 38_trump_administration_bridenstine_epa (5 articles)
43. 14_prince_charles_king_william (5 articles)
44. 58_plastic_plastics_waste_bags (5 articles)
45. 294_biden_bidens_agreement_president (5 articles)
46. 312_models_caldeira_grubb_predictions (5 articles)
47. 491_sea_waves_level_rise (5 articles)
48. 464_vanuatu_icj_court_legal (5 articles)
49. 602_methane_pledge_cutting_pollutants (5 articles)
50. 507_niche_heating_exposed_lenton (5 articles)

--- INDEPENDENT ---
 1. -1_in_the_that_of (900 articles)
 2. 2_ice_arctic_sheet_sea (86 articles)
 3. 0_ipcc_countries_un_report (77 articles)
 4. 12_greece_heatwave_europe_italy (41 articles)
 5. 10_uk_ccc_net_zero (36 articles)
 6. 24_montana_plaintiffs_trial_state (35 articles)
 7. 66_hockey_stick_age_period (33 articles)
 8. 9_heat_heatwaves_europe_extreme (28 articles)
 9. 436_barrett_court_judge_supreme (27 articles)
10. 26_geoengineering_srm_clouds_stratosphere (26 articles)
11. 487_windmills_trump_mr_president (26 articles)
12. 501_bee_lichen_lichens_lungwort (25 articles)
13. 13_record_july_copernicus_hottest (22 articles)
14. 11_protest_rebellion_protesters_police (22 articles)
15. 21_trees_forests_tree_planting (21 articles)
16. 79_birds_bird_tits_breeding (21 articles)
17. 44_maui_hawaii_lahaina_fire (20 articles)
18. 498_portugal_spain_algeria_morocco (20 articles)
19. 22_dioxide_ppm_atmosphere_co (19 articles)
20. 14_prince_charles_king_william (19 articles)
21. 552_iron_plastic_blue_fertilisation (19 articles)
22. 27_reef_coral_bleaching_reefs (19 articles)
23. 47_sunak_labour_keir_secretary (19 articles)
24. 40_monsoon_rains_india_himachal (18 articles)
25. 36_soil_biodiversity_land_soils (18 articles)
26. 461_tipping_points_gt_lenton (18 articles)
27. 56_wine_grapes_varieties_vineyards (18 articles)
28. 312_models_caldeira_grubb_predictions (18 articles)
29. 558_dust_clouds_sahara_desert (18 articles)
30. 333_methane_potent_atmosphere_gas (18 articles)
31. 48_ocean_oceans_heat_surface (17 articles)
32. 575_jetstreams_ye_jetstream_agree (17 articles)
33. 577_procrastinated_report_un_gigatonnes (17 articles)
34. 45_meat_curriculum_resource_veges (17 articles)
35. 465_uk_nights_weather_met (17 articles)
36. 576_persuaded_convinced_invest_fly (17 articles)
37. 479_pollen_allergy_hay_allergies (16 articles)
38. 511_wealthiest_richest_oxfam_poorest (16 articles)
39. 526_idalia_hurricane_florida_desantis (16 articles)
40. 33_hurricane_hurricanes_storms_storm (15 articles)
41. 1_australia_apps_albanese_australias (15 articles)
42. 58_plastic_plastics_waste_bags (15 articles)
43. 29_india_heat_asia_thailand (13 articles)
44. 563_typhoon_philippines_mawar_guam (12 articles)
45. 434_water_jarraud_groundwater_supplies (12 articles)
46. 618_online_ideas_here_youre (12 articles)
47. 518_google_videos_ads_youtube (11 articles)
48. 5_biden_bidens_clean_energy (11 articles)
49. 63_gloninger_journalists_meteorologist_meteorologists (11 articles)
50. 557_chance_unstoppable_tipping_target (11 articles)

--- NEWSHUB ---
 1. -1_in_the_that_of (136 articles)
 2. 20_steel_commission_commissions_advice (27 articles)
 3. 0_ipcc_countries_un_report (24 articles)
 4. 105_tax_shaw_davidson_greens (19 articles)
 5. 31_gabrielle_cyclone_retreat_housing (16 articles)
 6. 19_beach_coastal_beaches_sea (13 articles)
 7. 39_education_students_curriculum_teachers (10 articles)
 8. 2_ice_arctic_sheet_sea (10 articles)
 9. 455_strike_school_students_pm (9 articles)
10. 49_ecofys_watering_target_analytics (7 articles)
11. 35_matthews_farmers_ff_agricultural (7 articles)
12. 12_greece_heatwave_europe_italy (7 articles)
13. 6_meat_food_foods_beef (7 articles)
14. 42_transport_auckland_council_rail (7 articles)
15. 59_bill_ardern_commits_biogenic (7 articles)
16. 386_police_traffic_blockade_protesters (6 articles)
17. 151_hoggard_curriculum_federated_resource (6 articles)
18. 65_radical_neville_lidar_elevations (6 articles)
19. 41_collins_ardern_labours_supporters (5 articles)
20. 55_bill_adaptation_commissions_assets (5 articles)
21. 81_freshwater_exceed_increased_zealands (5 articles)
22. 107_rudd_brat_thunberg_greta (4 articles)
23. 94_ardern_mahindra_roundly_booed (4 articles)
24. 43_malaria_mosquitoes_dengue_mosquito (4 articles)
25. 13_record_july_copernicus_hottest (4 articles)
26. 605_menominee_trees_forest_native (4 articles)
27. 485_lawyers_commission_advice_commissions (4 articles)
28. 122_shaw_ets_interim_included (4 articles)
29. 75_ozone_uv_sunlight_substances (4 articles)
30. 315_deaths_heat_heatrelated_mortality (3 articles)
31. 132_health_esrs_annette_bolton (3 articles)
32. 207_louder_weatherwatch_poll_seriously (3 articles)
33. 559_pacific_fiji_sepuloni_rabuka (3 articles)
34. 23_health_lancet_diseases_pollution (3 articles)
35. 53_emergency_declare_declaring_muller (3 articles)
36. 27_reef_coral_bleaching_reefs (3 articles)
37. 48_ocean_oceans_heat_surface (3 articles)
38. 46_inflation_rates_interest_prices (3 articles)
39. 64_thunberg_greta_trudeau_montreal (3 articles)
40. 9_heat_heatwaves_europe_extreme (3 articles)
41. 102_cleantech_iea_cdm_trillion (3 articles)
42. 80_insurers_kiwis_thought_cent (3 articles)
43. 296_passionate_adams_students_school (3 articles)
44. 14_prince_charles_king_william (3 articles)
45. 108_bennett_ms_agreement_signed (3 articles)
46. 96_warmest_baseline_month_average (3 articles)
47. 502_damage_loss_countries_fund (2 articles)
48. 74_assessment_storey_risk_nearly (2 articles)
49. 58_plastic_plastics_waste_bags (2 articles)
50. 364_court_case_dutch_litigation (2 articles)

--- NYTIMES ---
 1. -1_in_the_that_of (325 articles)
 2. 0_ipcc_countries_un_report (44 articles)
 3. 5_biden_bidens_clean_energy (31 articles)
 4. 16_china_kerry_chinese_beijing (14 articles)
 5. 17_companies_fink_blackrock_firms (14 articles)
 6. 2_ice_arctic_sheet_sea (13 articles)
 7. 9_heat_heatwaves_europe_extreme (13 articles)
 8. 428_financial_banks_fed_bank (13 articles)
 9. 38_trump_administration_bridenstine_epa (9 articles)
10. 23_health_lancet_diseases_pollution (8 articles)
11. 449_insurance_homeowners_flood_hurricane (7 articles)
12. 48_ocean_oceans_heat_surface (7 articles)
13. 39_education_students_curriculum_teachers (7 articles)
14. 1_australia_apps_albanese_australias (7 articles)
15. 87_americans_percent_poll_yale (7 articles)
16. 214_military_security_defense_pentagon (7 articles)
17. 489_exxon_oil_shareholders_company (6 articles)
18. 36_soil_biodiversity_land_soils (6 articles)
19. 33_hurricane_hurricanes_storms_storm (6 articles)
20. 51_fire_california_fires_wildfires (6 articles)
21. 24_montana_plaintiffs_trial_state (5 articles)
22. 294_biden_bidens_agreement_president (5 articles)
23. 25_candidates_republicans_democrats_inslee (5 articles)
24. 32_pandemic_coronavirus_covid_virus (5 articles)
25. 139_music_song_art_museum (5 articles)
26. 26_geoengineering_srm_clouds_stratosphere (4 articles)
27. 660_fema_resilience_goldstein_criswell (4 articles)
28. 77_fish_salmon_species_lobster (4 articles)
29. 15_china_chinese_chinas_beijing (4 articles)
30. 6_meat_food_foods_beef (4 articles)
31. 435_children_child_having_kids (4 articles)
32. 589_grid_texas_outages_power (4 articles)
33. 541_germany_flooding_floods_belgium (4 articles)
34. 546_maue_noaa_legates_trump (4 articles)
35. 484_tornadoes_tornado_gensini_brooks (4 articles)
36. 551_winter_snowfall_vortex_snow (3 articles)
37. 27_reef_coral_bleaching_reefs (3 articles)
38. 13_record_july_copernicus_hottest (3 articles)
39. 56_wine_grapes_varieties_vineyards (3 articles)
40. 422_capture_co_air_carbon (3 articles)
41. 400_francis_pope_encyclical_catholic (3 articles)
42. 596_racism_black_latinos_latino (3 articles)
43. 58_plastic_plastics_waste_bags (3 articles)
44. 439_colorado_river_water_basin (3 articles)
45. 315_deaths_heat_heatrelated_mortality (3 articles)
46. 21_trees_forests_tree_planting (3 articles)
47. 290_china_chinas_xi_energy (3 articles)
48. 518_google_videos_ads_youtube (3 articles)
49. 19_beach_coastal_beaches_sea (3 articles)
50. 491_sea_waves_level_rise (3 articles)

--- NZHERALD ---
 1. -1_in_the_that_of (122 articles)
 2. 54_schemes_stephenson_processes_communities (49 articles)
 3. 41_collins_ardern_labours_supporters (49 articles)
 4. 28_tuvalu_tuvalus_nantucket_tuvaluan (47 articles)
 5. 72_target_nationals_strive_transtasman (47 articles)
 6. 101_sutton_salinger_warmth_maturation (47 articles)
 7. 53_emergency_declare_declaring_muller (47 articles)
 8. 78_concern_kiwis_attitudes_individuals (47 articles)
 9. 124_transport_forestry_cent_inventory (46 articles)
10. 110_boilingfrog_wilson_apathy_weather (46 articles)
11. 83_councils_lgnz_frameworks_universitys (46 articles)
12. 37_isolation_contact_cases_bloomfield (46 articles)
13. 126_miq_shaw_talks_entourage (46 articles)
14. 34_evs_nuclear_cannabis_ev (45 articles)
15. 96_warmest_baseline_month_average (45 articles)
16. 80_insurers_kiwis_thought_cent (45 articles)
17. 95_pacific_thinktanks_conservative_universitys (45 articles)
18. 136_huntly_charge_electricity_station (45 articles)
19. 128_orc_otago_oscillation_unchecked (45 articles)
20. 68_biological_upton_offset_approach (45 articles)
21. 90_freitas_gray_de_globalwarming (45 articles)
22. 172_scheme_credits_trading_ets (45 articles)
23. 123_naafs_paleogene_revert_hothouse (45 articles)
24. 84_abram_onset_early_centuries (45 articles)
25. 108_bennett_ms_agreement_signed (45 articles)
26. 163_predicting_lot_predict_dance (45 articles)
27. 135_adaptation_recommendations_lawrence_sealevel (45 articles)
28. 143_health_diseases_disease_pollen (45 articles)
29. 134_mcdouall_peterson_lim_symposium (45 articles)
30. 106_westerlies_ocean_westerly_southern (45 articles)
31. 147_rail_light_wealth_airport (45 articles)
32. 195_climatechange_beliefs_milfont_belief (45 articles)
33. 156_gross_biennial_biogenic_below (45 articles)
34. 154_roadmap_document_conservation_macinnisng (45 articles)
35. 190_ardern_gore_islands_pacific (45 articles)
36. 204_gunn_thompson_metrics_brave (45 articles)
37. 98_harrington_spells_dry_highpressure (45 articles)
38. 175_moisture_renwick_heavy_rainfall (45 articles)
39. 82_climb_above_threshold_could (45 articles)
40. 127_days_trends_frost_index (45 articles)
41. 162_teitiota_foss_refugee_kiribati (45 articles)
42. 65_radical_neville_lidar_elevations (45 articles)
43. 100_samoan_walkway_neighbours_existence (45 articles)
44. 186_harrington_metric_heat_threshold (45 articles)
45. 133_glaciers_melt_vargo_glacier (45 articles)
46. 76_national_nationals_bridges_vehicle (45 articles)
47. 109_poll_thought_iag_third (45 articles)
48. 69_students_oconnor_principals_school (45 articles)
49. 236_thames_lillian_frequented_zealots (44 articles)
50. 202_mike_campaigning_yes_desire (44 articles)

--- SKYAU ---
 1. 1_australia_apps_albanese_australias (509 articles)
 2. -1_in_the_that_of (155 articles)
 3. 14_prince_charles_king_william (26 articles)
 4. 512_panahi_rita_apps_sky (23 articles)
 5. 0_ipcc_countries_un_report (16 articles)
 6. 32_pandemic_coronavirus_covid_virus (10 articles)
 7. 39_education_students_curriculum_teachers (10 articles)
 8. 11_protest_rebellion_protesters_police (10 articles)
 9. 447_australia_bushfires_supercharging_rancorous (7 articles)
10. 5_biden_bidens_clean_energy (7 articles)
11. 64_thunberg_greta_trudeau_montreal (6 articles)
12. 6_meat_food_foods_beef (6 articles)
13. 161_thunberg_greta_her_thunbergs (6 articles)
14. 51_fire_california_fires_wildfires (5 articles)
15. 76_national_nationals_bridges_vehicle (5 articles)
16. 27_reef_coral_bleaching_reefs (4 articles)
17. 360_kerry_kerrys_john_biden (4 articles)
18. 17_companies_fink_blackrock_firms (4 articles)
19. 16_china_kerry_chinese_beijing (4 articles)
20. 46_inflation_rates_interest_prices (4 articles)
21. 3_amazon_brazil_deforestation_lula (4 articles)
22. 107_rudd_brat_thunberg_greta (4 articles)
23. 559_pacific_fiji_sepuloni_rabuka (3 articles)
24. 13_record_july_copernicus_hottest (3 articles)
25. 596_racism_black_latinos_latino (3 articles)
26. 10_uk_ccc_net_zero (3 articles)
27. 2_ice_arctic_sheet_sea (3 articles)
28. 21_trees_forests_tree_planting (3 articles)
29. 153_bis_rba_banks_australia (3 articles)
30. 97_el_nino_nina_la (3 articles)
31. 386_police_traffic_blockade_protesters (3 articles)
32. 69_students_oconnor_principals_school (2 articles)
33. 35_matthews_farmers_ff_agricultural (2 articles)
34. 23_health_lancet_diseases_pollution (2 articles)
35. 580_seibt_ms_naomi_heartland (2 articles)
36. 47_sunak_labour_keir_secretary (2 articles)
37. 312_models_caldeira_grubb_predictions (2 articles)
38. 515_fountain_vatican_rome_museums (2 articles)
39. 427_twitter_musk_users_misinformation (2 articles)
40. 187_thomson_declaration_launch_kiwis (2 articles)
41. 73_sims_transport_freight_approaches (2 articles)
42. 94_ardern_mahindra_roundly_booed (2 articles)
43. 600_turbulence_flight_aircraft_passengers (2 articles)
44. 25_candidates_republicans_democrats_inslee (2 articles)
45. 87_americans_percent_poll_yale (2 articles)
46. 289_hyde_park_protesters_image (2 articles)
47. 307_havelock_students_marched_hawkes (2 articles)
48. 30_ai_chatgpt_intelligence_artificial (2 articles)
49. 15_china_chinese_chinas_beijing (1 articles)
50. 176_gore_ardern_religion_loved (1 articles)

--- STUFF ---
 1. -1_in_the_that_of (229 articles)
 2. 42_transport_auckland_council_rail (41 articles)
 3. 0_ipcc_countries_un_report (29 articles)
 4. 20_steel_commission_commissions_advice (29 articles)
 5. 408_cup_game_messi_coach (25 articles)
 6. 31_gabrielle_cyclone_retreat_housing (24 articles)
 7. 19_beach_coastal_beaches_sea (16 articles)
 8. 455_strike_school_students_pm (15 articles)
 9. 485_lawyers_commission_advice_commissions (14 articles)
10. 35_matthews_farmers_ff_agricultural (14 articles)
11. 105_tax_shaw_davidson_greens (13 articles)
12. 22_dioxide_ppm_atmosphere_co (12 articles)
13. 6_meat_food_foods_beef (10 articles)
14. 41_collins_ardern_labours_supporters (10 articles)
15. 17_companies_fink_blackrock_firms (10 articles)
16. 547_maori_te_indigenous_matariki (10 articles)
17. 49_ecofys_watering_target_analytics (9 articles)
18. 37_isolation_contact_cases_bloomfield (9 articles)
19. 60_methane_landuse_farming_sheep (8 articles)
20. 55_bill_adaptation_commissions_assets (8 articles)
21. 28_tuvalu_tuvalus_nantucket_tuvaluan (8 articles)
22. 99_aviation_airlines_saf_flight (8 articles)
23. 70_tussocks_prey_rats_whales (8 articles)
24. 39_education_students_curriculum_teachers (8 articles)
25. 605_menominee_trees_forest_native (6 articles)
26. 386_police_traffic_blockade_protesters (6 articles)
27. 275_declaration_cynics_gould_bryan (6 articles)
28. 58_plastic_plastics_waste_bags (6 articles)
29. 10_uk_ccc_net_zero (6 articles)
30. 88_councillor_councillors_council_auckland (6 articles)
31. 559_pacific_fiji_sepuloni_rabuka (6 articles)
32. 102_cleantech_iea_cdm_trillion (5 articles)
33. 54_schemes_stephenson_processes_communities (5 articles)
34. 599_png_pacific_islands_marape (5 articles)
35. 74_assessment_storey_risk_nearly (5 articles)
36. 224_farming_farmers_hart_irrigation (5 articles)
37. 75_ozone_uv_sunlight_substances (5 articles)
38. 122_shaw_ets_interim_included (5 articles)
39. 137_tracks_lynn_services_trains (4 articles)
40. 117_hawkes_hastings_waste_napier (4 articles)
41. 32_pandemic_coronavirus_covid_virus (4 articles)
42. 271_visitor_shortlisted_architectural_centre (4 articles)
43. 112_oamaru_liquor_woman_police (4 articles)
44. 164_recovery_strategic_fiscal_borders (4 articles)
45. 59_bill_ardern_commits_biogenic (4 articles)
46. 139_music_song_art_museum (4 articles)
47. 1_australia_apps_albanese_australias (4 articles)
48. 12_greece_heatwave_europe_italy (4 articles)
49. 82_climb_above_threshold_could (3 articles)
50. 97_el_nino_nina_la (3 articles)

--- WASHINGTON_POST ---
 1. -1_in_the_that_of (319 articles)
 2. 0_ipcc_countries_un_report (63 articles)
 3. 5_biden_bidens_clean_energy (34 articles)
 4. 9_heat_heatwaves_europe_extreme (21 articles)
 5. 2_ice_arctic_sheet_sea (20 articles)
 6. 17_companies_fink_blackrock_firms (11 articles)
 7. 6_meat_food_foods_beef (10 articles)
 8. 13_record_july_copernicus_hottest (10 articles)
 9. 33_hurricane_hurricanes_storms_storm (9 articles)
10. 51_fire_california_fires_wildfires (8 articles)
11. 52_insects_butterflies_bees_butterfly (8 articles)
12. 25_candidates_republicans_democrats_inslee (8 articles)
13. 48_ocean_oceans_heat_surface (8 articles)
14. 24_montana_plaintiffs_trial_state (8 articles)
15. 16_china_kerry_chinese_beijing (7 articles)
16. 551_winter_snowfall_vortex_snow (7 articles)
17. 294_biden_bidens_agreement_president (7 articles)
18. 56_wine_grapes_varieties_vineyards (7 articles)
19. 261_phoenix_heat_arizona_degrees (7 articles)
20. 21_trees_forests_tree_planting (6 articles)
21. 38_trump_administration_bridenstine_epa (6 articles)
22. 44_maui_hawaii_lahaina_fire (5 articles)
23. 43_malaria_mosquitoes_dengue_mosquito (5 articles)
24. 29_india_heat_asia_thailand (5 articles)
25. 439_colorado_river_water_basin (5 articles)
26. 449_insurance_homeowners_flood_hurricane (5 articles)
27. 26_geoengineering_srm_clouds_stratosphere (5 articles)
28. 19_beach_coastal_beaches_sea (5 articles)
29. 23_health_lancet_diseases_pollution (5 articles)
30. 608_cloudy_showers_southeast_skies (4 articles)
31. 654_offsets_offset_credits_offsetting (4 articles)
32. 36_soil_biodiversity_land_soils (4 articles)
33. 22_dioxide_ppm_atmosphere_co (4 articles)
34. 3_amazon_brazil_deforestation_lula (4 articles)
35. 315_deaths_heat_heatrelated_mortality (4 articles)
36. 1_australia_apps_albanese_australias (4 articles)
37. 66_hockey_stick_age_period (4 articles)
38. 87_americans_percent_poll_yale (4 articles)
39. 61_uae_cop_jaber_al (4 articles)
40. 63_gloninger_journalists_meteorologist_meteorologists (4 articles)
41. 77_fish_salmon_species_lobster (4 articles)
42. 566_heat_sweat_body_linden (3 articles)
43. 32_pandemic_coronavirus_covid_virus (3 articles)
44. 214_military_security_defense_pentagon (3 articles)
45. 432_ski_snow_resorts_snowmaking (3 articles)
46. 489_exxon_oil_shareholders_company (3 articles)
47. 7_kenya_food_africa_drought (3 articles)
48. 422_capture_co_air_carbon (3 articles)
49. 591_art_gallery_painting_paint (3 articles)
50. 8_africa_kenya_african_continent (3 articles)

--- YOMIURI ---
 1. -1_in_the_that_of (194 articles)
 2. 119_japan_kishida_hiroshima_japanese (36 articles)
 3. 497_fukushima_treated_japan_discharge (23 articles)
 4. 524_september_weekly_japan_yomiuri (21 articles)
 5. 523_japan_prefecture_shimbun_yomiuri (20 articles)
 6. 540_japan_yomiuri_shimbun_stalking (18 articles)
 7. 2_ice_arctic_sheet_sea (15 articles)
 8. 15_china_chinese_chinas_beijing (14 articles)
 9. 30_ai_chatgpt_intelligence_artificial (14 articles)
10. 633_prefecture_japan_shimbun_yomiuri (12 articles)
11. 450_shipping_imo_ships_maritime (10 articles)
12. 27_reef_coral_bleaching_reefs (9 articles)
13. 638_grain_ukraine_ukrainian_russia (8 articles)
14. 3_amazon_brazil_deforestation_lula (8 articles)
15. 13_record_july_copernicus_hottest (6 articles)
16. 6_meat_food_foods_beef (6 articles)
17. 427_twitter_musk_users_misinformation (6 articles)
18. 12_greece_heatwave_europe_italy (6 articles)
19. 61_uae_cop_jaber_al (6 articles)
20. 0_ipcc_countries_un_report (6 articles)
21. 521_woolly_genomes_genetic_mammoths (5 articles)
22. 446_smoke_air_wildfires_canada (5 articles)
23. 29_india_heat_asia_thailand (5 articles)
24. 50_russian_ukraine_ukrainian_putin (4 articles)
25. 46_inflation_rates_interest_prices (4 articles)
26. 44_maui_hawaii_lahaina_fire (4 articles)
27. 32_pandemic_coronavirus_covid_virus (4 articles)
28. 34_evs_nuclear_cannabis_ev (4 articles)
29. 463_debt_default_house_mccarthy (4 articles)
30. 432_ski_snow_resorts_snowmaking (3 articles)
31. 584_erdogan_turkeys_turkish_turkey (3 articles)
32. 636_macron_french_france_lasota (3 articles)
33. 214_military_security_defense_pentagon (3 articles)
34. 56_wine_grapes_varieties_vineyards (3 articles)
35. 451_iraq_iraqs_water_tigris (3 articles)
36. 599_png_pacific_islands_marape (3 articles)
37. 452_italian_berlusconi_italys_italy (3 articles)
38. 680_india_indias_modi_sj (3 articles)
39. 509_lake_lakes_water_yao (2 articles)
40. 503_copernicus_europe_recordbreaking_record (2 articles)
41. 131_penguins_baird_birds_dead (2 articles)
42. 649_anthropocene_crawford_lake_awg (2 articles)
43. 261_phoenix_heat_arizona_degrees (2 articles)
44. 16_china_kerry_chinese_beijing (2 articles)
45. 301_eu_european_eus_member (2 articles)
46. 615_israel_israeli_palestinian_palestinians (2 articles)
47. 587_peppers_chili_huy_sriracha (2 articles)
48. 507_niche_heating_exposed_lenton (2 articles)
49. 26_geoengineering_srm_clouds_stratosphere (2 articles)
50. 79_birds_bird_tits_breeding (2 articles)

